"","x"
"1",6987.45985401458
"2",16130.5428571429
"3",7546.25862068967
"4",6987.45985401458
"5",3315.1092436975
"6",7546.25862068967
"8",6987.45985401458
"9",2664.07894736841
"10",7268.5
"12",3463.73684210523
"14",2664.07894736841
"16",6987.45985401458
"17",7546.25862068967
"18",7546.25862068967
"20",7268.5
"21",7546.25862068967
"23",3238.6036036036
"24",6987.45985401458
"25",7268.5
"27",6987.45985401458
"28",6987.45985401458
"29",6987.45985401458
"30",3315.1092436975
"31",6987.45985401458
"32",3238.6036036036
"33",17164.8285714285
"34",3238.6036036036
"35",7546.25862068967
"36",3238.6036036036
"38",6987.45985401458
"39",17164.8285714285
"40",2664.07894736841
"41",17164.8285714285
"42",2664.07894736841
"43",3238.6036036036
"44",17164.8285714285
"45",3315.1092436975
"47",6987.45985401458
"48",6987.45985401458
"49",2664.07894736841
"51",3315.1092436975
"52",16130.5428571429
"53",3315.1092436975
"54",3238.6036036036
"55",7546.25862068967
"56",3238.6036036036
"58",3238.6036036036
"59",16130.5428571429
"60",2664.07894736841
"61",6987.45985401458
"62",7268.5
"64",3315.1092436975
"65",3238.6036036036
"67",3315.1092436975
"68",3238.6036036036
"69",3315.1092436975
"71",3315.1092436975
"72",6987.45985401458
"73",7546.25862068967
"74",3238.6036036036
"75",6987.45985401458
"77",6987.45985401458
"78",17164.8285714285
"79",6987.45985401458
"80",3238.6036036036
"81",7268.5
"82",7546.25862068967
"83",7546.25862068967
"85",7546.25862068967
"86",7546.25862068967
"88",3238.6036036036
"90",17164.8285714285
"91",3238.6036036036
"92",6987.45985401458
"94",7268.5
"95",17164.8285714285
"96",6987.45985401458
"98",7268.5
"99",3238.6036036036
"101",3238.6036036036
"102",6987.45985401458
"103",6987.45985401458
"108",17164.8285714285
"109",7268.5
"110",3315.1092436975
"112",17164.8285714285
"113",7268.5
"115",6987.45985401458
"117",6987.45985401458
"118",3238.6036036036
"119",3315.1092436975
"120",7268.5
"123",6987.45985401458
"125",6987.45985401458
"126",6987.45985401458
"127",3315.1092436975
"128",7546.25862068967
"129",3315.1092436975
"131",6987.45985401458
"132",6987.45985401458
"133",7268.5
"134",7546.25862068967
"136",7268.5
"137",3238.6036036036
"138",7546.25862068967
"139",3238.6036036036
"140",6987.45985401458
"141",7546.25862068967
"142",3315.1092436975
"143",7546.25862068967
"144",6987.45985401458
"145",7268.5
"147",3315.1092436975
"148",6987.45985401458
"149",3238.6036036036
"150",7546.25862068967
"151",6987.45985401458
"152",6987.45985401458
"153",6987.45985401458
"154",7268.5
"156",6987.45985401458
"161",3238.6036036036
"162",7268.5
"164",3315.1092436975
"165",6987.45985401458
"167",16130.5428571429
"168",16130.5428571429
"169",3315.1092436975
"171",6987.45985401458
"172",3315.1092436975
"173",7268.5
"174",6987.45985401458
"175",17164.8285714285
"179",6987.45985401458
"180",6987.45985401458
"183",3315.1092436975
"185",3238.6036036036
"186",3315.1092436975
"187",7546.25862068967
"191",3315.1092436975
"192",6987.45985401458
"193",7546.25862068967
"194",6987.45985401458
"195",3315.1092436975
"196",3315.1092436975
"197",3238.6036036036
"199",7268.5
"201",6987.45985401458
"203",7546.25862068967
"204",3315.1092436975
"205",2664.07894736841
"207",6987.45985401458
"208",7268.5
"210",6987.45985401458
"211",7546.25862068967
"212",17164.8285714285
"213",3315.1092436975
"214",7546.25862068967
"215",3315.1092436975
"217",7268.5
"219",3315.1092436975
"220",3315.1092436975
"222",6987.45985401458
"224",3315.1092436975
"225",3315.1092436975
"226",3238.6036036036
"228",3315.1092436975
"229",6987.45985401458
"230",7268.5
"234",6987.45985401458
"235",17164.8285714285
"236",6987.45985401458
"237",17164.8285714285
"238",3315.1092436975
"239",3463.73684210523
"240",16130.5428571429
"243",3315.1092436975
"244",2664.07894736841
"245",7546.25862068967
"248",2664.07894736841
"250",17164.8285714285
"251",3238.6036036036
"252",6987.45985401458
"253",3315.1092436975
"257",2664.07894736841
"260",3238.6036036036
"261",2664.07894736841
"262",3315.1092436975
"264",2664.07894736841
"265",3238.6036036036
"266",3238.6036036036
"268",3238.6036036036
"269",7268.5
"270",7546.25862068967
"272",3315.1092436975
"274",6987.45985401458
"275",16130.5428571429
"277",3315.1092436975
"278",3238.6036036036
"280",7268.5
"281",6987.45985401458
"284",6987.45985401458
"285",3463.73684210523
"286",3238.6036036036
"287",3315.1092436975
"288",3238.6036036036
"289",6987.45985401458
"290",2664.07894736841
"291",3238.6036036036
"292",3238.6036036036
"293",3315.1092436975
"295",17164.8285714285
"296",3238.6036036036
"297",7546.25862068967
"298",3238.6036036036
"301",6987.45985401458
"303",3315.1092436975
"304",3315.1092436975
"305",3315.1092436975
"306",3238.6036036036
"309",7268.5
"310",6987.45985401458
"311",3315.1092436975
"312",7546.25862068967
"316",6987.45985401458
"317",2664.07894736841
"318",7268.5
"320",3315.1092436975
"321",3238.6036036036
"322",3315.1092436975
"324",3315.1092436975
"325",7546.25862068967
"326",3315.1092436975
"327",16130.5428571429
"329",3315.1092436975
"331",17164.8285714285
"334",7546.25862068967
"336",3315.1092436975
"337",6987.45985401458
"338",7268.5
"340",3238.6036036036
"341",3315.1092436975
"342",3238.6036036036
"343",7268.5
"344",3315.1092436975
"345",6987.45985401458
"346",6987.45985401458
"347",7546.25862068967
"348",7546.25862068967
"349",3315.1092436975
"351",16130.5428571429
"353",3315.1092436975
"354",7268.5
"356",6987.45985401458
"357",3315.1092436975
"358",3315.1092436975
"360",3238.6036036036
"361",17164.8285714285
"362",2664.07894736841
"363",17164.8285714285
"365",17164.8285714285
"366",6987.45985401458
"367",3238.6036036036
"368",6987.45985401458
"369",3315.1092436975
"370",3315.1092436975
"371",7546.25862068967
"373",3238.6036036036
"374",3315.1092436975
"376",16130.5428571429
"380",3315.1092436975
"381",16130.5428571429
"383",6987.45985401458
"384",2664.07894736841
"385",3315.1092436975
"386",16130.5428571429
"389",2664.07894736841
"393",3315.1092436975
"394",6987.45985401458
"395",3315.1092436975
"396",3315.1092436975
"397",16130.5428571429
"398",3463.73684210523
"399",7268.5
"400",7546.25862068967
"401",7546.25862068967
"402",7546.25862068967
"403",3238.6036036036
"404",7268.5
"405",3315.1092436975
"406",16130.5428571429
"408",3238.6036036036
"410",16130.5428571429
"411",3463.73684210523
"413",3315.1092436975
"414",6987.45985401458
"415",2664.07894736841
"417",3238.6036036036
"418",3238.6036036036
"419",7546.25862068967
"422",3315.1092436975
"423",6987.45985401458
"424",3238.6036036036
"426",6987.45985401458
"427",3315.1092436975
"428",3315.1092436975
"429",3238.6036036036
"430",7546.25862068967
"431",6987.45985401458
"433",3238.6036036036
"434",3315.1092436975
"435",6987.45985401458
"436",6987.45985401458
"438",3238.6036036036
"439",2664.07894736841
"440",7268.5
"441",3315.1092436975
"442",3238.6036036036
"443",3238.6036036036
"444",3463.73684210523
"445",16130.5428571429
"446",3315.1092436975
"447",3315.1092436975
"448",7268.5
"449",3238.6036036036
"452",3315.1092436975
"453",6987.45985401458
"454",6987.45985401458
"455",17164.8285714285
"456",17164.8285714285
"457",6987.45985401458
"462",3238.6036036036
"463",6987.45985401458
"464",7546.25862068967
"465",3315.1092436975
"467",2664.07894736841
"469",6987.45985401458
"471",3315.1092436975
"472",3315.1092436975
"474",3315.1092436975
"476",6987.45985401458
"477",6987.45985401458
"479",3238.6036036036
"480",16130.5428571429
"481",7268.5
"482",3315.1092436975
"484",3315.1092436975
"485",7268.5
"486",6987.45985401458
"487",2664.07894736841
