

                                 Elimination Summary                                   
--------------------------------------------------------------------------------------
        Variable                       Adj.                                               
Step       Removed       R-Square    R-Square      C(p)          AIC           RMSE       
--------------------------------------------------------------------------------------
   1    Alley              0.9333      0.9145     -90.9671    25381.4751    23504.0576    
   2    CentralAir         0.9333      0.9146     -92.9658    25379.4768    23490.3271    
   3    OpenPorchSF        0.9333      0.9147     -94.9495    25377.4978    23476.8267    
   4    Electrical         0.9332       0.915     -95.8119    25368.9587    23437.7962    
   5    ExterCond          0.9331      0.9153     -96.5819    25362.5361    23400.3278    
   6    PavedDrive          0.933      0.9154     -97.9816    25359.3052    23381.5005    
   7    EnclosedPorch       0.933      0.9155     -99.8748    25357.4420    23369.4722    
   8    LotShape           0.9329      0.9156    -100.4924    25353.2107    23347.9939    
   9    GarageQual         0.9328      0.9158    -100.9562    25345.1729    23328.7352    
  10    GarageCond         0.9326       0.916    -100.9578    25337.7202    23302.5621    
  11    GarageYrBlt        0.9326      0.9161    -102.8818    25335.8170    23290.3173    
  12    HouseStyle         0.9323      0.9163    -100.3524    25327.5682    23259.0264    
  13    HalfBath           0.9323      0.9164    -102.2495    25325.6985    23247.2799    
  14    MiscVal            0.9323      0.9165    -104.1074    25323.8784    23236.0807    
  15    Heating            0.9321      0.9166    -103.7806    25318.8203    23215.0291    
  16    MiscFeature        0.9319      0.9167    -103.2824    25313.9701    23196.4328    
  17    KitchenAbvGr       0.9319      0.9168    -105.0057    25312.3185    23187.1730    
  18    MoSold             0.9318      0.9169    -106.5895    25310.8421    23179.7863    
  19    GarageFinish       0.9317      0.9169    -107.1354    25306.6700    23173.3211    
  20    BsmtCond           0.9315      0.9169    -106.4218    25302.0727    23170.7260    
  21    BsmtFinType1       0.9311      0.9169    -102.9259    25296.9322    23179.2600    
  22    YrSold              0.931      0.9169    -104.1300    25295.9220    23176.9658    
  23    Fence              0.9307      0.9168    -101.7860    25293.3088    23183.0361    
  24    Exterior2nd        0.9295      0.9167     -88.3372    25284.2540    23207.0120    
  25    BsmtHalfBath       0.9294      0.9167     -89.5014    25283.2696    23205.2504    
  26    RoofStyle          0.9289      0.9166     -85.6978    25280.2963    23217.2947    
  27    FullBath           0.9289      0.9166     -86.7265    25279.4679    23217.2672    
  28    BsmtFinType2       0.9284      0.9165     -82.6018    25274.8270    23233.2448    
  29    GarageType         0.9278      0.9163     -77.2250    25271.6253    23252.5221    
  30    GarageCars         0.9277      0.9163     -78.1762    25270.8705    23253.4330    
  31    X3SsnPorch         0.9276      0.9163     -78.6545    25270.6747    23260.2942    
  32    Foundation         0.9271      0.9161     -74.1080    25268.4024    23281.0726    
  33    LotFrontage         0.927      0.9161     -74.6593    25268.1052    23286.9410    
  34    LotConfig          0.9266       0.916     -71.2761    25266.4094    23305.1629    
  35    MasVnrType          0.926      0.9156     -65.9185    25266.9675    23347.6200    
  36    MSZoning           0.9255      0.9155     -61.8621    25265.9622    23373.6654    
  37    WoodDeckSF         0.9253      0.9153     -61.3879    25266.8070    23391.9177    
  38    FireplaceQu        0.9245      0.9149     -53.5653    25268.0282    23451.4047    
  39    BsmtFullBath       0.9243      0.9147     -52.7063    25269.2729    23474.0792    
  40    YearRemodAdd       0.9241      0.9145     -51.3120    25271.1125    23503.1718    
  41    Fireplaces         0.9238      0.9143     -49.7304    25273.1495    23534.4338    
--------------------------------------------------------------------------------------
