"","Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces"
"1","Pub Beer",1436,0.05,NA,409,"American Pale Lager",12
"2","Devil's Cup",2265,0.066,NA,178,"American Pale Ale (APA)",12
"3","Rise of the Phoenix",2264,0.071,NA,178,"American IPA",12
"4","Sinister",2263,0.09,NA,178,"American Double / Imperial IPA",12
"5","Sex and Candy",2262,0.075,NA,178,"American IPA",12
"6","Black Exodus",2261,0.077,NA,178,"Oatmeal Stout",12
"7","Lake Street Express",2260,0.045,NA,178,"American Pale Ale (APA)",12
"8","Foreman",2259,0.065,NA,178,"American Porter",12
"9","Jade",2258,0.055,NA,178,"American Pale Ale (APA)",12
"10","Cone Crusher",2131,0.086,NA,178,"American Double / Imperial IPA",12
"11","Sophomoric Saison",2099,0.072,NA,178,"Saison / Farmhouse Ale",12
"12","Regional Ring Of Fire",2098,0.073,NA,178,"Saison / Farmhouse Ale",12
"13","Garce Selé",2097,0.069,NA,178,"Saison / Farmhouse Ale",12
"14","Troll Destroyer",1980,0.085,NA,178,"Belgian IPA",12
"16","Ginja Ninja",2318,0.06,NA,155,"Cider",12
"17","Cherried Away",2170,0.06,NA,155,"Cider",12
"18","Rhubarbarian",2169,0.06,NA,155,"Cider",12
"19","BrightCider",1502,0.06,NA,155,"Cider",12
"20","He Said Baltic-Style Porter",1593,0.082,NA,369,"Baltic Porter",12
"21","He Said Belgian-Style Tripel",1592,0.082,NA,369,"Tripel",12
"24","Marooned On Hog Island",976,0.079,NA,369,"American Stout",12
"41","Beach Blonde",2518,0.05,NA,68,"American Blonde Ale",12
"42","Rod Bender Red",2517,0.059,NA,68,"American Amber / Red Ale",12
"45","Cast Iron Oatmeal Brown",2324,0.055,NA,61,"American Brown Ale",12
"46","Reprise Centennial Red",2288,0.06,NA,61,"American Amber / Red Ale",12
"47","Alter Ego",2287,0.055,NA,61,"American Black Ale",12
"48","Divided Sky",2286,0.065,NA,61,"American IPA",12
"49","Resurrected",2285,0.065,NA,61,"American IPA",12
"51","Galaxyfest",2603,0.065,NA,28,"American IPA",16
"53","Barn Yeti",2220,0.09,NA,28,"Belgian Strong Dark Ale",16
"62","Wolfman's Berliner",1583,0.038,NA,374,"Berliner Weissbier",12
"80","Kamen Knuddeln",2676,0.065,NA,2,"American Wild Ale",16
"91","Hopalicious",2501,0.057,NA,74,"American Pale Ale (APA)",12
"92","Kentucky Kölsch",1535,0.043,NA,389,"Kölsch",16
"93","Kentucky IPA",1149,0.065,NA,389,"American IPA",16
"94","Dusty Trail Pale Ale",1474,0.054,NA,402,"American Pale Ale (APA)",16
"95","Damnesia",1473,0.062,NA,402,"American IPA",16
"97","Liberty Ale",2592,0.059,NA,36,"American IPA",12
"98","IPA",2578,0.065,NA,36,"American IPA",12
"99","Summer Wheat",2577,0.045,NA,36,"American Pale Wheat Ale",12
"100","California Lager",2103,0.049,NA,36,"American Amber / Red Lager",12
"101","Brotherhood Steam",2102,0.056,NA,36,"California Common / Steam Beer",12
"102","Blood Orange Gose",2291,0.042,NA,172,"Gose",12
"103","Keebarlin' Pale Ale",1818,0.042,NA,172,"American Pale Ale (APA)",12
"104","the Kimmie, the Yink and the Holy Gose",1738,0.048,NA,172,"Gose",12
"105","Fall Hornin'",1563,0.06,NA,172,"Pumpkin Ale",12
"120","Charlie's Rye IPA",2337,0.06,NA,147,"American IPA",16
"121","River Pig Pale Ale",410,0.054,NA,543,"American Pale Ale (APA)",16
"122","Oaky's Oatmeal Stout",409,0.047,NA,543,"Oatmeal Stout",16
"123","Angry Orchard Apple Ginger",1294,0.05,NA,435,"Cider",16
"124","Angry Orchard Crisp Apple",1293,0.05,NA,435,"Cider",16
"125","Angry Orchard Crisp Apple",1292,0.05,NA,435,"Cider",12
"126","Golden One",2207,0.068,NA,194,"Belgian Pale Ale",12
"127","Arjuna",2040,0.06,NA,194,"Witbier",12
"128","Uroboros",2039,0.085,NA,194,"American Stout",12
"134","On-On Ale (2008)",735,0.052,NA,514,"American Pale Ale (APA)",12
"142","Aslan Kölsch",1640,0.048,NA,354,"Kölsch",16
"143","Aslan IPA",1639,0.077,NA,354,"American IPA",16
"144","Aslan Amber",1638,0.077,NA,354,"American Amber / Red Ale",16
"153","Michelada",2495,0.052,NA,73,"Fruit / Vegetable Beer",16
"157","Heavy Machinery IPA Series #1: Heavy Fist",1409,0.07,NA,414,"American Black Ale",16
"158","Fire Eagle IPA",343,0.062,NA,414,"American IPA",12
"159","Peacemaker",342,0.051,NA,414,"American Pale Ale (APA)",12
"160","Pearl-Snap",341,0.053,NA,414,"German Pilsener",12
"161","Black Thunder",340,0.052,NA,414,"Schwarzbier",12
"162","Raja",2589,0.08,NA,38,"American Double / Imperial IPA",12
"163","Perzik Saison",2546,0.064,NA,38,"Saison / Farmhouse Ale",12
"171","Hog Wild India Pale Ale",705,0.067,NA,361,"American IPA",12
"174","Palate Mallet",2058,0.086,NA,236,"American Double / Imperial IPA",12
"175","Back East Porter",1483,0.06,NA,236,"American Porter",12
"176","Back East Golden Ale",1426,0.049,NA,236,"American Blonde Ale",12
"177","Misty Mountain IPA",1132,0.07,NA,236,"American IPA",12
"178","Back East Ale",1131,0.05,NA,236,"American Amber / Red Ale",12
"179","Truck Stop Honey Brown Ale",1876,0.06,NA,287,"English Brown Ale",12
"183","Grapefruit Sculpin",2593,0.07,NA,35,"American IPA",12
"187","Longfin Lager",1019,0.046,NA,35,"Munich Helles Lager",12
"189","All Nighter Ale",1776,0.045,NA,319,"Extra Special / Strong Bitter (ESB)",12
"194","Barrio Tucson Blonde",1343,0.045,NA,252,"American Blonde Ale",12
"204","Tarnation California-Style Lager",1855,0.053,NA,293,"California Common / Steam Beer",12
"206","Summer Swelter",1209,0.047,NA,293,"American Pale Wheat Ale",12
"207","Phantom Punch Winter Stout",954,0.068,NA,293,"Foreign / Export Stout",12
"208","Hayride Autumn Ale",910,0.066,NA,293,"Rye Beer",12
"209","Celsius Summer Ale (2012)",707,0.047,NA,293,"American Pale Wheat Ale",12
"218","Oberon",2494,0.058,NA,77,"American Pale Wheat Ale",12
"219","Smitten",2325,0.06,NA,77,"Rye Beer",16
"220","Winter White",2022,0.05,NA,77,"Witbier",16
"221","Oberon",1989,0.058,NA,77,"American Pale Wheat Ale",16
"222","Two Hearted",1988,0.07,NA,77,"American IPA",16
"223","Best Brown",1955,0.058,NA,77,"American Brown Ale",16
"225","Uber Lupin Schwarz IPA",2557,0.083,NA,54,"American Double / Imperial IPA",16
"227","Cold Press",2496,0.06,NA,76,"American Black Ale",12
"235","La Frontera Premium IPA",1158,0.078,NA,464,"American IPA",12
"236","Tejas Lager",1157,0.047,NA,464,"Czech Pilsener",12
