"","x"
"1",6987.4598540146
"2",16130.5428571429
"3",7546.25862068967
"4",6987.4598540146
"5",3315.10924369748
"6",7546.25862068967
"8",6987.4598540146
"9",2664.07894736842
"10",7268.49999999999
"12",3463.73684210524
"14",2664.07894736842
"16",6987.4598540146
"17",7546.25862068967
"18",7546.25862068967
"20",7268.49999999999
"21",7546.25862068967
"23",3238.60360360357
"24",6987.4598540146
"25",7268.49999999999
"27",6987.4598540146
"28",6987.4598540146
"29",6987.4598540146
"30",3315.10924369748
"31",6987.4598540146
"32",3238.60360360357
"33",17164.8285714285
"34",3238.60360360357
"35",7546.25862068967
"36",3238.60360360357
"38",6987.4598540146
"39",17164.8285714285
"40",2664.07894736842
"41",17164.8285714285
"42",2664.07894736842
"43",3238.60360360357
"44",17164.8285714285
"45",3315.10924369748
"47",6987.4598540146
"48",6987.4598540146
"49",2664.07894736842
"51",3315.10924369748
"52",16130.5428571429
"53",3315.10924369748
"54",3238.60360360357
"55",7546.25862068967
"56",3238.60360360357
"58",3238.60360360357
"59",16130.5428571429
"60",2664.07894736842
"61",6987.4598540146
"62",7268.49999999999
"64",3315.10924369748
"65",3238.60360360357
"67",3315.10924369748
"68",3238.60360360357
"69",3315.10924369748
"71",3315.10924369748
"72",6987.4598540146
"73",7546.25862068967
"74",3238.60360360357
"75",6987.4598540146
"77",6987.4598540146
"78",17164.8285714285
"79",6987.4598540146
"80",3238.60360360357
"81",7268.49999999999
"82",7546.25862068967
"83",7546.25862068967
"85",7546.25862068967
"86",7546.25862068967
"88",3238.60360360357
"90",17164.8285714285
"91",3238.60360360357
"92",6987.4598540146
"94",7268.49999999999
"95",17164.8285714285
"96",6987.4598540146
"98",7268.49999999999
"99",3238.60360360357
"101",3238.60360360357
"102",6987.4598540146
"103",6987.4598540146
"108",17164.8285714285
"109",7268.49999999999
"110",3315.10924369748
"112",17164.8285714285
"113",7268.49999999999
"115",6987.4598540146
"117",6987.4598540146
"118",3238.60360360357
"119",3315.10924369748
"120",7268.49999999999
"123",6987.4598540146
"125",6987.4598540146
"126",6987.4598540146
"127",3315.10924369748
"128",7546.25862068967
"129",3315.10924369748
"131",6987.4598540146
"132",6987.4598540146
"133",7268.49999999999
"134",7546.25862068967
"136",7268.49999999999
"137",3238.60360360357
