                                   Selection Summary                                     
----------------------------------------------------------------------------------------
        Variable                         Adj.                                               
Step        Entered        R-Square    R-Square      C(p)          AIC           RMSE       
----------------------------------------------------------------------------------------
   1    OverallQual          0.6271      0.6268    4096.8516    26767.4831    49110.6331    
   2    GrLivArea            0.7219      0.7214    2780.0419    26448.3057    42430.8996    
   3    Neighborhood         0.7964      0.7914    1745.6781    26154.9018    36711.7281    
   4    BsmtFinSF1           0.8237      0.8192    1367.8864    25999.2688    34178.1345    
   5    BsmtQual             0.8434      0.8388    1096.0960    25877.6697    32274.7873   ** 
   6    MSSubClassLog        0.8560      0.8517     921.9848    25787.3922    30957.6804    
   7    BsmtExposure         0.8656      0.8610     791.2072    25720.2870    29970.4919    
   8    Condition2           0.8747      0.8698     666.0213    25653.1670    29002.0706    
   9    KitchenQual          0.8828      0.8779     555.1928    25585.8877    28087.7323    
  10    OverallCondLog       0.8876      0.8828     490.3175    25542.0203    27518.6863    
  11    OverallQualLog       0.8922      0.8875     428.8030    25498.6036    26966.7318    
  12    LotAreaLog           0.8956      0.8909     383.4730    25465.4912    26550.4900    
  13    YearBuilt            0.9002      0.8956     321.7395    25418.3573    25973.8539    
  14    SaleCondition        0.9035      0.8986     277.4741    25391.2562    25598.7896    
  15    PoolQC               0.9059      0.9008     246.3343    25369.8862    25317.3611    
  16    ExterQual            0.9082      0.9029     216.6634    25349.0742    25045.5108    
  17    LowQualFinSFLog      0.9096      0.9043     198.8256    25333.9391    24862.3274    
  18    GarageCars           0.9106      0.9053     186.4729    25323.3725    24732.0342    
  19    Functional           0.9126      0.9069     161.2136    25311.1010    24530.7906    
  20    SaleType             0.9146      0.9083     134.7845    25301.2014    24337.3659    
  21    FireplacesLog        0.9155      0.9092     124.8435    25292.1375    24226.6140    
  22    BedroomAbvGr         0.9162      0.9098     117.4188    25285.3255    24141.1875    
  23    PoolAreaLog          0.9168      0.9104     111.0128    25279.4055    24065.8754    
  24    LandContour          0.9177      0.9111     100.5469    25273.5541    23971.4092    
  25    Condition1           0.9193      0.9122      79.0994    25266.9086    23819.0518    
  26    MasVnrArea           0.9199      0.9127      73.7994    25261.7616    23753.2665    
  27    PoolArea             0.9204      0.9132      68.7921    25256.8571    23690.2977    
  28    MiscFeature          0.9223      0.9150      43.4007    25237.4417    23442.3710    
  29    Exterior1st          0.9244      0.9162      16.3464    25231.5915    23265.1670    
  30    BsmtFullBath         0.9251      0.9169       9.2758    25224.1033    23176.3328    
  31    Street               0.9254      0.9172       6.2190    25220.7778    23131.7751    
  32    YearRemodAdd         0.9258      0.9175       3.2034    25217.4699    23087.5010    
  33    TotalBsmtSF          0.9262      0.9178      -0.0052    25213.9304    23040.8874    
  34    X1stFlrSF            0.9268      0.9185      -7.0975    25206.1929    22950.3433    
----------------------------------------------------------------------------------------
