                                     Stepwise Selection Summary                                      
----------------------------------------------------------------------------------------------------
                            Added/                   Adj.                                               
Step       Variable        Removed     R-Square    R-Square      C(p)          AIC           RMSE       
----------------------------------------------------------------------------------------------------
   1      OverallQual      addition       0.627       0.627    4096.8520    26767.4831    49110.6331    
   2       GrLivArea       addition       0.722       0.721    2780.0420    26448.3057    42430.8996    
   3     Neighborhood      addition       0.796       0.791    1745.6780    26154.9018    36711.7281    
   4      BsmtFinSF1       addition       0.824       0.819    1367.8860    25999.2688    34178.1345    
   5       BsmtQual        addition       0.843       0.839    1096.0960    25877.6697    32274.7873   ** 
   6     MSSubClassLog     addition       0.856       0.852     921.9850    25787.3922    30957.6804    
   7     BsmtExposure      addition       0.866       0.861     791.2070    25720.2870    29970.4919    
   8      Condition2       addition       0.875       0.870     666.0210    25653.1670    29002.0706    
   9      KitchenQual      addition       0.883       0.878     555.1930    25585.8877    28087.7323    
  10    OverallCondLog     addition       0.888       0.883     490.3180    25542.0203    27518.6863    
  11    OverallQualLog     addition       0.892       0.887     428.8030    25498.6036    26966.7318    
  12      LotAreaLog       addition       0.896       0.891     383.4730    25465.4912    26550.4900    
  13       YearBuilt       addition       0.900       0.896     321.7390    25418.3573    25973.8539    
  14     SaleCondition     addition       0.904       0.899     277.4740    25391.2562    25598.7896    
  15        PoolQC         addition       0.906       0.901     246.3340    25369.8862    25317.3611    
  16       ExterQual       addition       0.908       0.903     216.6630    25349.0742    25045.5108    
  17    LowQualFinSFLog    addition       0.910       0.904     198.8260    25333.9391    24862.3274    
  18      GarageCars       addition       0.911       0.905     186.4730    25323.3725    24732.0342    
  19      Functional       addition       0.913       0.907     161.2140    25311.1010    24530.7906    
  20       SaleType        addition       0.915       0.908     134.7840    25301.2014    24337.3659    
  21     FireplacesLog     addition       0.915       0.909     124.8440    25292.1375    24226.6140    
  22     BedroomAbvGr      addition       0.916       0.910     117.4190    25285.3255    24141.1875    
  23      PoolAreaLog      addition       0.917       0.910     111.0130    25279.4055    24065.8754    
  24      LandContour      addition       0.918       0.911     100.5470    25273.5541    23971.4092    
  25      Condition1       addition       0.919       0.912      79.0990    25266.9086    23819.0518    
  26      MasVnrArea       addition       0.920       0.913      73.7990    25261.7616    23753.2665    
  27       PoolArea        addition       0.920       0.913      68.7920    25256.8571    23690.2977    
  28      MiscFeature      addition       0.922       0.915      43.4010    25237.4417    23442.3710    
  29      Exterior1st      addition       0.924       0.916      16.3460    25231.5915    23265.1670    
  30     BsmtFullBath      addition       0.925       0.917       9.2760    25224.1033    23176.3328    
  31     FireplacesLog     removal        0.925       0.917      11.2410    25226.2610    23208.6079    
  32     YearRemodAdd      addition       0.925       0.917       8.6840    25223.4815    23169.7525    
  33      Fireplaces       addition       0.925       0.917       5.7380    25220.2696    23126.4081    
  34        Street         addition       0.926       0.918       3.0500    25217.3073    23085.7873    
  35      TotalBsmtSF      addition       0.926       0.918       0.0330    25213.9711    23041.3148    
  36       X1stFlrSF       addition       0.927       0.919      -7.5580    25205.6978    22945.1557    
----------------------------------------------------------------------------------------------------

